"ZONA";"NOM_LOCALIDADE";"NOM_LOCAL";"ENDEREÄO_LOCAL";"BAIRRO_LOCAL";"CEP";"NñMERO DAS SEÄôES";"QTDE. DE SEÄôES";"APTOS"
21;"CONDE";"ESCOLA MUNICIPAL DILSON BATISTA MENDES";"POVOADO DO CANGORITO - ZONA RURAL";"POVOADO CANGORITO";48300000;"162,163,164,200";4;1234
21;"CONDE";"ESCOLA MUNICIPAL HERM‡GENES GOMES DO NASCIMENTO";"PRAÄA JORGE AMADO S/N - ZONA RURAL";"POVOADO SãTIO DO CONDE";48300000;"165,166,167,180";4;1445
21;"CONDE";"ESCOLA MUNICIPAL MARIA CAROLINA ROCHA GOMES";"RUA LINO GOMES, S/N - BARRA DO ITARIRI - ZONA RURAL";"POVOADO BARRA DO ITARIRI";48300000;"168,169,213";3;839
21;"CONDE";"PRêDIO ESTADUAL CELSO MENDES";"RUA BAIXA DA AREIA S/N - ZONA URBANA";"VILA DO CONDE";48300000;"170,171,172,173,181,192,206";7;2811
21;"CONDE";"ESCOLA MUNICIPAL EPAMINONDAS ALVES DE BRITO PINTO";"POVOADO SEMPRE VIVA - ZONA RURAL";"POVOADO SEMPRE VIVA";48300000;"174,175,176,195";4;1420
21;"CONDE";"ESCOLA SéO VICENTE DE PAULA";"POVOADO DO VERMELHO - ZONA RURAL";"POVOADO DO VERMELHO";48300000;177;1;352
21;"CONDE";"ESCOLA MUNICIPAL HELENA DE CASTRO BATISTA";"RUA NOVA DO AREIAL, S/N - ZONA URBANA";"CENTRO";48300000;"139,140,141,179,208";5;1705
21;"CONDE";"ESCOLA MUNICIPAL EUGâNIA DE OLIVEIRA";"POVOADO POÄAS - ZONA RURAL";"POVOADO POÄAS";48300000;185,21;2;494
21;"CONDE";"ESCOLA  MUNICIPAL DR. SEVERINO VIEIRA";"PRAÄA ALTAMIRANDO REQUIéO, S/N - ZONA URBANA";"CENTRO";48300000;"136,137,138";3;958
21;"ESPLANADA";"INSTITUTO EDUCACIONAL ARCO-ãRIS";"RUA ARMANDO COSTA TOURINHO, S/N - ZONA URBANA";"CENTRO";48370000;"20,21,22,23,29,55,75";7;2265
21;"ESPLANADA";"COLEGIO MUNICIPAL DR. ANTONIO CARLOS MAGALHAES";"PRACA NOSSA SRA DA POMPEIA, 43 - ZONA URBANA";"CENTRO";48370000;"24,25,26,27,30,56,128,209";8;2840
21;"ESPLANADA";"ESCOLA MUNICIPAL DR. ORLANDO BATISTA LINS";"POVOADO PALMEIRA - ZONA RURAL";"POVOADO PALMEIRA";48370000;76;1;179
21;"ESPLANADA";"ESCOLA ESTADUAL CELINA SARAIVA";"RUA J. J. SEABRA - ZONA URBANA";"CENTRO";48370000;"31,32,33,34,35,36,58,59,73,125,126";11;3285
21;"ESPLANADA";"PREDIO ESTADUAL DO TIMBO";"PRACA SANTO ANTONIO - ZONA URBANA";"TIMBO";48370000;"37,38,60,194";4;1145
21;"ESPLANADA";"PREDIO MUNICIPAL AUREA LINS DE LEMOS";"PRACA SANTO ANTONIO - ZONA URBANA";"TIMBO";48370000;"39,40,41,61";4;1209
21;"ESPLANADA";"COLEGIO MUNICIPAL OLGA CHAMERON SMITH";"POVOADO MATA - ZONA RURAL";"PICA-PAU";48370000;"43,44,45,78,114,124";6;1834
21;"ESPLANADA";"PREDIO ESCOLAR DO BAIXIO";"RUA PRINCIPAL DO BAIXIO - ZONA RURAL";"POVOADO BAIXIO";48370000;46,77;2;681
21;"ESPLANADA";"PREDIO ESCOLAR DA BOA VISTA";"POVOADO BOA VISTA - ZONA RURAL";"POVOADO BOA VISTA";48370000;47;1;366
21;"ESPLANADA";"PREDIO ESCOLAR DE LIMOES";"POVOADO LIMOES - ZONA RURAL";"POVOADO LIMOES";48370000;48,5;2;587
21;"ESPLANADA";"ESCOLA PROFESSORA MARIA DE LOURDES DE C LEITE";"RUA TENENETE SIQUEIRA CAMPOS - ZONA URBANA";"CENTRO";48370000;"28,57,66,70,127,197";6;2459
21;"ESPLANADA";"ESCOLA MUNICIPAL JOSE MOREIRA DE SOUZA";"POVOADO MULUNGU - ZONA RURAL";"POVOADO MULUNGU";48370000;"67,79,202";3;880
21;"ESPLANADA";"ESCOLA MUNICIPAL SAO JOSE";"POVOADO SAO JOSE - ZONA RURAL";"POVOADO SAO JOSE";48370000;"68,74,112,115,117";5;1815
21;"ESPLANADA";"ESCOLA MUNICIPAL DR. AGENOR VELOSO DANTAS";"POVOADO CRUZ DAS ALMAS - ZONA RURAL";"POVOADO CRUZ DAS ALMAS";48370000;123;1;351
21;"ESPLANADA";"ESCOLA MUNICIPAL ASSENTAMENTO SAO FRANCISCO";"ASSENTAMENTO SAO FRANCISCO - ZONA RURAL";"POVOADO ASSENTAMENTO SAO FRANCISCO";48370000;121;1;188
21;"ESPLANADA";"ESC. MUNICIPAL ASSENT. NOVO HORIZONTE E NOVA LUZITANIA";"ASSENTAMENTO NOVO HORIZONTE - ZONA RURAL";"POVOADO ASSENTAMENTO NOVO HORIZONTE";48370000;116,122;2;419
21;"ESPLANADA";"ESCOLA MUNICIPAL PROFESSORA LUCILIA DE ASSIS SANTOS";"PRACA SANTO ANTONIO - ZONA URBANA";"TIMBO";48370000;"62,80,113,182,196,204";6;2510
21;"ESPLANADA";"ESCOLA MUNICIPAL ANTONIO CONSELHEIRO";"POVOADO ANTONIO CONSELHEIRO - ZONA RURAL";"POVOADO ANTONIO CONSELHEIRO";48370000;129;1;368
21;"ESPLANADA";"COLêGIO MUNICIPAL PROFESSOR C∂NDIDO JOSê ABADE";"PRAÄA DA FEIRA - ZONA RURAL";"POVOADO PALAME";48370000;42,131;2;639
21;"ESPLANADA";"ESCOLA MUNICIPAL LãDIA XAVIER DE OLIVEIRA";"POVOADO MORENA - ZONA RURAL";"POVOADO MORENA";48370000;133,199;2;540
21;"ESPLANADA";"ESCOLA MUNICIPAL MENINO JESUS";"AVENIDA MARAJÜS, S/N - ZONA RURAL";"ASSENTAMENTO BOA VISTA III";48370000;132,201;2;532
21;"ESPLANADA";"ESCOLA MUNICIPAL ALTO DO ITAQUARI";"POVOADO JUERANA - ZONA RURAL";"POVOADO JUERANA";48370000;183,211;2;443
21;"ESPLANADA";"ESCOLA MUNICIPAL FREI JOSê DE MONSANO";"RUA DO MALOMBE, S/N - ZONA URBANA";"CENTRO";48370000;"187,191,198,205";4;1375
22;"JEQUIê";"COLêGIO MODELO LUIS EDUARDO MAGALHéES";"AVENIDA CESAR BORGES, S/N - ZONA URBANA";"JEQUIEZINHO";45200000;"1,2,3,4,206,213,222,305";8;3216
22;"JEQUIê";"COLêGIO D. PEDRO II";"RUA LANDULFO CARIBê S/N - ZONA URBANA";"JEQUIEZINHO";45200000;"5,45,48";3;837
22;"JEQUIê";"CAIC";"URBIS IV - ZONA URBANA";"JEQUIEZINHO";45200000;"7,8,9,10,11,113,114,177,188,196";10;3717
22;"JEQUIê";"COLêGIO DA POLãCIA MILITAR LUIS NEVES COTRIM";"RUA MARIA ADêLIA MELLEN, S/N - ZONA URBANA";"JEQUIEZINHO";45208900;"12,13,14,15,16,17,18,19,202,204,208";11;2797
22;"JEQUIê";"GINÜSIO POLIVALENTE";"RUA FRANZ GEDEON S/N - ZONA URBANA";"JEQUIEZINHO";45200000;"20,21,22,23,24,25,26,27,28,29,30,31,32,33,227,301,308";17;6726
22;"JEQUIê";"GRUPO ESCOLAR FERNANDO BARRETO";"RUA GUILHERME FERNANDES S/N - ZONA URBANA";"JEQUIEZINHO";45200000;"34,35,36,37,38,184,211,321";8;2704
22;"JEQUIê";"GINÜSIO DR. CELI DE FREITAS";"AV. JOSê MOREIRA SOBRINHO, S/N - ZONA URBANA";"JEQUIEZINHO";45200000;"39,41,43";3;958
22;"JEQUIê";"PREDIO ESCOLAR DE BARRA AVENIDA";"POVOADO BARRA AVENIDA - ZONA RURAL";"POVOADO BARRA AVENIDA";45200000;59;1;235
22;"JEQUIê";"ESCOLA MUNICIPAL AGNELO MENEZES";"POVOADO BARRAGEM DA PEDRA - ZONA RURAL";"POVOADO BARRAGEM DE PEDRA";45200000;60,61;2;520
22;"JEQUIê";"GRUPO ESCOLAR SéO JORGE";"RUA DA ESTAÄéO FERROVIÜRIA - ZONA RURAL";"DISTRITO BAIXéO";45200000;62;1;297
22;"JEQUIê";"GRUPO ESCOLAR JUDITH RABELLO BORGES";"RUA NOVA, S/N - ZONA RURAL";"POVOADO MONTE BRANCO";45200000;64;1;209
22;"JEQUIê";"ASSOCIAÄéO COMUNITÜRIA DOS AGRICULTORES DE BOA VISTA";"POVOADO BOA VISTA - ZONA RURAL";"POVOADO BOA VISTA";45200000;65;1;137
22;"JEQUIê";"GRUPO ESCOLAR LUãS CARLOS BRAGA";"DISTRITO BOAÄU - ZONA RURAL";"DISTRITO BOAÄU";45200000;67;1;158
22;"JEQUIê";"CENTRO DE CULTURA ANT‚NIO SALES";"PRAÄA DA IGREJA - ZONA RURAL";"DISTRITO ORIENTE NOVO";45200000;69;1;417
22;"JEQUIê";"ESCOLA JOANA ANGêLICA";"DISTRITO DE ITAJURU - ZONA RURAL";"DISTRITO ITAJURU";45200000;76;1;358
22;"JEQUIê";"GRUPO ESCOLAR MUNICIPAL PROFESSORA EDINALVA MIRANDA ALMEIDA";"RUA DO CACAU, S/N - ZONA RURAL";"DISTRITO ITAJURU";45200000;75,79;2;705
22;"JEQUIê";"ESCOLA MUNICIPAL MAURO ALMEIDA";"POVOADO NOVA ESPERANÄA - ZONA RURAL";"POVOADO NOVA ESPERANÄA";45200000;90,91;2;401
22;"JEQUIê";"GRUPO ESCOLAR  MUNICIPAL DE SANTA CLARA";"POVOADO SANTA CLARA - ZONA RURAL";"POVOADO SANTA CLARA";45200000;92;1;237
22;"JEQUIê";"GRUPO ESCOLAR JOSê AUGUSTO BARRETO DA SILVA";"AVENIDA CACHOEIRINHA - ZONA URBANA";"TROPICAL";45209162;"93,94,313";3;991
22;"JEQUIê";"GRUPO ESCOLAR DANIEL ANDRADE";"POVOADO TAMARINDO - ZONA RURAL";"POVOADO TAMARINDO";45200000;99;1;393
22;"JEQUIê";"GRUPO ESCOLAR JOSê XAVIER DE SOUZA";"POVOADO SANTA RITA - ZONA RURAL";"POVOADO SANTA RITA";45200000;109;1;122
22;"JEQUIê";"GRUPO ESCOLAR VIOLETA MONTAL";"POVOADO MORRO VERDE - ZONA RURAL";"POVOADO MORRO VERDE";45200000;110;1;113
22;"JEQUIê";"COLêGIO ANITA RABELLO BARRETO";"RUA ADEMAR DE BARROS S/N - ZONA URBANA";"KM 4";45200000;"95,96,112,175,306";5;1863
22;"JEQUIê";"GRUPO ESCOLAR MUNICIPAL JOéO FRANCISCO";"POVOADO LIMOEIRO - ZONA RURAL";"POVOADO LIMOEIRO";45200000;118;1;148
22;"JEQUIê";"GRUPO ESCOLAR DORIVAL BORGES";"RUA BAIXA SENHOR DO BONFIM - ZONA URBANA";"BAIXA DO BONFIM";45214999;"121,224,303,315";4;1685
22;"JEQUIê";"GRUPO ESCOLAR MUNICIPAL LOURDES MOREIRA GIUDICE";"POVOADO FRISUBA - ZONA RURAL";"POVOADO FRISUBA";45200000;122;1;124
22;"JEQUIê";"ESCOLA MUNICIPAL JOAQUIM MARQUES MONTEIRO";"RUA CIDADE DE BRASãLIA S/N CONJ. HAB. BRASIL NOVO - ZONA URBANA";"JEQUIEZINHO";45200000;"106,107,108,116,125,203,210,314";8;2993
22;"JEQUIê";"ESCOLA WILMA BRITO SARMENTO";"RUA E, LOTEAMENTO ÜGUA BRANCA, S/N - ZONA URBANA";"JEQUIEZINHO";45206727;"126,170,176,187,197,316";6;2266
22;"JEQUIê";"ESCOLA MARIA BASTOS DAMASCENO";"POVOADO VOLTA DO RIO - ZONA RURAL";"POVOADO VOLTA DO RIO";45200000;199;1;214
22;"JEQUIê";"COLêGIO MUNICIPAL ESTELA C∂MARA DUBOIS";"RUA D S/N URBIS III - ZONA URBANA";"JEQUIEZINHO";45200000;"205,209,216,221,228,304,319";7;2521
22;"JEQUIê";"COLêGIO MARIA JOSê LIMA SILVEIRA";"RUA EXISTENTE 1, N 28, VILA RODOVIÜRIA - ZONA URBANA";"JEQUIEZINHO";45207241;"217,223,226,229,302,307,317,323";8;2824
22;"JEQUIê";"COLêGIO ESTADUAL LUãSA MAHIM";"RUA PROF. RAIMUNDO FERNANDES COSTA, 100 - LOT. ITAIGARA - ZONA URBANA";"MANDACARU";45210376;"230,231,232,233,234,235,236,237,238,239,240";11;4309
22;"JEQUIê";"COLêGIO MUNICIPAL PROFESSORA ALIRIA ARGOLO PEREIRA";"RUA BRUNO NETO, S/N - ZONA URBANA";"MANDACARU";45200100;"241,242,243,309,318";5;1831
22;"JEQUIê";"UNIVERSIDADE ESTADUAL SUDOESTE DA BAHIA";"AV JOSê MOREIRA SOBRINHO S/N - ZONA URBANA";"JEQUIEZINHO";45206191;"244,245,246,247,248,249,250";7;2220
22;"JEQUIê";"ESCOLA NOVA CULTURAL";"RUA MADUREIRA, N 103 - ZONA URBANA";"MANDACARU";45210054;"251,252,253,254";4;824
22;"JEQUIê";"COLêGIO ESTADUAL LUIS NAVARRO DE BRITO";"PRAÄA NAVARRO DE BRITO, S/N - ZONA URBANA";"KM-3";45200000;"255,256,257,258,259,260,261,312";8;3106
22;"JEQUIê";"ESCOLA MUNICIPAL NOSSA SENHORA DA LUZ";"AVENIDA ULISSES COELHO LIMA, S/N - ZONA URBANA";"KM-3";45200000;"262,263,264,265,266,267,268";7;2418
22;"JEQUIê";"GRUPO ESCOLAR PROFESSORA ADELAIDE RODRIGUES";"RUA BOTAFOGO S/N - ZONA URBANA";"MANDACARU";45207040;"269,270,271,272,273";5;1575
22;"JEQUIê";"COLêGIO ESTADUAL LUIS VIANA FILHO";"AV LIONS CLUB - ZONA URBANA";"JEQUIEZINHO";45206020;"274,277,280,283,286,289,291";7;2304
22;"JEQUIê";"CENTRO EDUCACIONAL SENADOR JOéO CALMON";"RUA JOSê BARROS MEIRA, S/N - ZONA URBANA";"MANDACARU";45207070;"293,294,295,296,297,298";6;2037
22;"JEQUIê";"CRECHE MUNICIPAL DR. ASTOLPHO DOS SANTOS";"RUA 5, QD 36 - ZONA URBANA";"AMARALINA";45200000;"299,310,320";3;1195
22;"JEQUIê";"ESCOLA MUNICIPAL BOA VISTA";"RUA CRIST‡VéO MEIRA GONDIM, SN";"POMPãLIO SAMPAIO";45206081;"300,311,322";3;966
22;"MANOEL VITORINO";"COLêGIO ESTADUAL PROFESSORA ALMERINDA MEIRA DO CARMO";"RUA CAFê FILHO, S/N - ZONA URBANA";"CENTRO";45240000;"128,129,130,131";4;1536
22;"MANOEL VITORINO";"GRUPO ESCOLAR CASTRO ALVES";"RUA RENATO VILAR - ZONA URBANA";"CENTRO";45240000;"132,133,195";3;877
22;"MANOEL VITORINO";"GRUPO ESCOLAR CLERISTON ANDRADE";"RUA GABRIEL DANTAS NOVAES S/N - ZONA RURAL";"DISTRITO CATINGAL";45240000;153,154;2;418
22;"MANOEL VITORINO";"GINÜSIO TRINTA DE JULHO";"RUA VASCO NETO S/N - ZONA URBANA";"CENTRO";45240000;"136,137,138,163,164";5;1656
22;"MANOEL VITORINO";"GRUPO ESCOLAR ROBERTO KENNEDY";"RUA DA LAGOA DA BOA VISTA - ZONA URBANA";"CENTRO";45240000;"139,140,141";3;1102
22;"MANOEL VITORINO";"ESCOLA MONTEIRO LOBATO";"RUA HêRCULES FERNANDES S/N - ZONA URBANA";"CENTRO";45240000;"143,144,145";3;642
22;"MANOEL VITORINO";"GRUPO ESCOLAR CLEMENTE MARIANI";"RUA DIREITA, S/N - ZONA RURAL";"DISTRITO CATINGAL";45240000;"134,135,142,146,147,148,149,150,151,152,159,198";12;2731
22;"MANOEL VITORINO";"ESCOLA MUNICIPAL COSTA E SILVA";"AV RIO BAHIA S/N - ZONA URBANA";"CENTRO";45240000;"156,157,158";3;623
22;"MANOEL VITORINO";"ESCOLA MUNICIPAL";"PRAÄA MUNICIPAL S/N - ZONA RURAL";"POVOADO RECREIO";45240000;160,161;2;430
22;"MANOEL VITORINO";"ESCOLA MARCãLIO TEIXEIRA LOPES";"POVOADO SALGADO GRANDE - ZONA RURAL";"POVOADO SALGADO GRANDE";45240000;"165,166,167,168,169";5;1418
22;"MANOEL VITORINO";"ESCOLA MUNICIPAL FEIRINHA";"POVOADO FEIRINHA - ZONA RURAL";"POVOADO FEIRINHA";45240000;162;1;269
22;"MANOEL VITORINO";"ESCOLA MUNICIPAL RIO DE CONTAS";"POVOADO DAS POMBAS - ZONA RURAL";"POVOADO DAS POMBAS";45240000;200,201;2;616
22;"MANOEL VITORINO";"ESCOLA BARTOLOMEU BUENO";"POVOADO LAGOA DA PEDRA - ZONA RURAL";"POVOADO LAGOA DA PEDRA";45240000;218;1;308
23;"APUAREMA";"ESCOLA PADRE VIEIRA (NOVO HORIZONTE)";"POVOADO NOVO HORIZONTE - ZONA RURAL";"POVOADO NOVO HORIZONTE";45355000;313,335;2;682
23;"APUAREMA";"ESCOLA VASCO FILHO";"PRAÄA VEREADOR FRANCISCO PEREIRA, S/N - ZONA URBANA";"CENTRO";45355000;"320,321,322,323";4;1549
23;"APUAREMA";"ESCOLA MUNICIPAL ELOI JOSê DE OLIVEIRA (ESTIVADO)";"POVOADO DO ESTIVADO - ZONA RURAL";"POVOADO DO ESTIVADO";45355000;344;1;205
23;"APUAREMA";"ESCOLA MUNICIPAL DIONãSIO CAETANO (SERRA DOS CAETANOS)";"POVOADO SERRA DOS CAETANOS - ZONA RURAL";"POVOADO SERRA DOS CAETANOS";45355000;343;1;139
23;"APUAREMA";"CEA - CENTRO EDUCACIONAL DE APUAREMA";"RUA SANTO ANTONIO, SN - ZONA URBANA";"CENTRO";45355000;"432,443,451,452,472";5;1829
23;"APUAREMA";"ESCOLA AURINO NERY";"RUA ANTONIO ALMEIDA, SN - ZONA URBANA";"CENTRO";45355000;"333,433,445,454,457";5;1563
23;"JEQUIê";"CENTRO MUNICIPAL DE TEMPO INTEGRAL ADEMAR VIEIRA";"PRAÄA PAPA JOéO XXIII, S/N - ZONA URBANA";"JOAQUIM ROMéO";45200000;"87,88,89,90,349";5;1721
23;"JEQUIê";"CENTRO EDUCACIONAL PROFESSOR BRITO";"RUA ITAJURU, S/N - ZONA URBANA";"JOAQUIM ROMéO";45202160;"82,83,84,94,95,96,234,351,431,446,460";11;3265
23;"JEQUIê";"PRêDIO DO ANTIGO PROF. FIRMO NUNES (FEIRINHA - J. ROMéO)";"RUA JOéO JOSê DUARTE, S/N - ZONA URBANA";"JOAQUIM ROMéO";45200660;"98,99,100,109,110,111,112,113,189,341";10;3328
23;"JEQUIê";"CENTRO EDUCACIONAL MINISTRO SIMôES FILHO";"AV. TOTE LOMANTO, S/N - ZONA URBANA";"JOAQUIM ROMéO";45200100;"114,115,116,117,196,202,257,294,296,345";10;2982
23;"JEQUIê";"CENTRO EDUCACIONAL PRESIDENTE MêDICI";"RUA PRINCESA ISABEL S/N - ZONA URBANA";"JOAQUIM ROMéO";45201180;"101,102,103,108,118,119,120,121,214,219,240,258,292,305,338";15;4217
23;"JEQUIê";"ESCOLA MUNICIPAL AMêLIA RIBEIRO";"LOTEAMENTO SANTA LUZ, S/N - ZONA URBANA";"CANSANÄéO";45201000;"122,123,197,437";4;1062
23;"JEQUIê";"COLêGIO ESTADUAL PROF. FLORIPES SODRê";"AV GUSTAVO DOS SANTOS RIBEIRO, S/N - ZONA URBANA";"CANSANÄéO";45201360;"142,143,144,298,434,438,448,462";8;3068
23;"JEQUIê";"ESCOLA MUNICIPAL MARIA BIONDI";"RUA MARIA BIONDI S/N - ZONA URBANA";"KENNEDY";45201530;"127,145,147,148,199,241,436";7;2608
23;"JEQUIê";"COLêGIO ESTADUAL FIRMO NUNES DE OLIVEIRA (ANT COLEGIO MILITAR PROF MAG";"AV. LOMANTO JñNIOR, S/N - ZONA URBANA";"JOAQUIM ROMéO";45200565;"85,91,92,93,194,210,218,231,248,256,267,282,291";13;3788
23;"JEQUIê";"COLêGIO ESTADUAL DOUTOR MILTON SANTOS";"RUA DOM CLIMêRIO, S/N - ZONA URBANA";"JOAQUIM ROMéO";45202650;"306,310,334,339,350,354,439,455,467";9;3457
23;"JEQUIê";"ESCOLA MUNICIPAL JOSê DE ANCHIETA (CAJUEIRO)";"POVOADO CAJUEIRO - ZONA RURAL";"POVOADO CAJUEIRO";45200000;355,356;2;496
23;"JEQUIê";"ESCOLA MUNICIPAL ARGEMIRO CARDOSO (MARCELA)";"POVOADO MARCELA - ZONA RURAL";"POVOADO MARCELA";45200000;357,358;2;451
23;"JEQUIê";"GRUPO ESCOLAR CARMêLIA ALVES (RIO DO MUTUM )";"POVOADO RIO DO MUTUM - ZONA RURAL";"POVOADO RIO DO MUTUM";45200000;360;1;238
23;"JEQUIê";"ESCOLA MUNICIPAL CLÜUDIA GORDILHO LOMANTO (RIO PRETO DO COSTA)";"POVOADO RIO PRETO DO COSTA - ZONA RURAL";"POVOADO RIO PRETO DO COSTA";45200000;361,362;2;417
23;"JEQUIê";"GRUPO ESCOLAR RENAN BALEEIRO (LAGOA DANTAS)";"POVOADO LAGOA DANTAS - ZONA RURAL";"POVOADO LAGOA DANTAS";45200000;363;1;175
23;"JEQUIê";"COLêGIO ESTADUAL PROFESSORA FARAãLDES SANTOS";"PRAÄA CURRAL NOVO, S/N - ZONA URBANA";"CURRAL NOVO";45200000;"383,384,385,386,387,388,453,469";8;3267
23;"JEQUIê";"GRUPO ESCOLAR ADOLFO RIBEIRO";"RUA ANT‚NIO ORRICO S/N - ZONA URBANA";"SéO JUDAS TADEU";45200000;"389,390,391,392,393,394,441";7;2975
23;"JEQUIê";"GRUPO ESCOLAR MINISTRO JARBAS PASSARINHO (ITAIB‡)";"DISTRITO ITAIB‡ - ZONA RURAL";"DISTRITO ITAIB‡";45200000;395;1;311
23;"JEQUIê";"GRUPO ESCOLAR JOSê BATISTA NEVES (CAMPO LARGO)";"POVOADO CAMPO LARGO - ZONA RURAL";"POVOADO CAMPO LARGO";45200000;400,401;2;574
23;"JEQUIê";"ESCOLA MUNICIPAL DR. JOSê SIMôES DE CARVALHO JR. (DEUS DARÜ)";"POVOADO DEUS DARÜ - ZONA RURAL";"POVOADO DEUS DARÜ";45200000;403;1;156
23;"JEQUIê";"GRUPO ESCOLAR HILDA RODRIGUES (RIO DAS PEDRAS)";"POVOADO RIO DAS PEDRAS - ZONA RURAL";"POVOADO RIO DAS PEDRAS";45200000;406;1;128
23;"JEQUIê";"ESCOLA MUNICIPAL ROMUALDO BISPO FREITAS (RIO DO ANTONIO)";"POVOADO RIO DO ANTONIO - ZONA RURAL";"POVOADO RIO DO ANT‚NIO";45200000;408;1;297
23;"JEQUIê";"GRUPO ESCOLAR CORINA LEAL ( FAZENDA VELHA )";"POVOADO FAZENDA VELHA - ZONA RURAL";"POVOADO FAZENDA VELHA";45200000;410,411;2;669
23;"JEQUIê";"GRUPO ESCOLAR  PROF EDVALDO BOAVENTURA (EMILIANO)";"POVOADO EMILIANO - ZONA RURAL";"POVOADO EMILIANO";45200000;412,413;2;488
23;"JEQUIê";"GRUPO ESCOLAR LANDULFO CARIBê (FLORESTAL)";"POVOADO FLORESTAL - ZONA RURAL";"POVOADO FLORESTAL";45200000;"415,416,417,418,419";5;1241
23;"JEQUIê";"ESCOLA MUNICIPAL PROFESSOR AURINO NERY";"RUA URBANO DE ALMEIDA NETO, LOT. SOL NASCENTE - ZONA URBANA";"JOAQUIM ROMéO";45200000;428,463;2;599
23;"JEQUIê";"IERP";"RUA XV DE NOVEMBRO, SN - ZONA URBANA";"CAMPO DO AMêRICA";45200000;"4,5,6,289,430,440,444,447,450,456,459,464,466,470,471,475";16;6431
23;"JEQUIê";"COLêGIO MATISSE";"RUA DOM PEDRO II, N 267 - ZONA URBANA";"CENTRO";45203020;"22,429,442,449,458,465,468";7;2696
23;"LAFAIETE COUTINHO";"ESCOLA MUNICIPAL WALDEMAR THEMãSTOCLES DOS SANTOS";"AV SéO ROQUE, N 754 - ZONA URBANA";"CENTRO";45215000;364,365;2;600
23;"LAFAIETE COUTINHO";"CENTRO EDUCACIONAL PROF. DIVA CAETITê (ANT. LUIZ EDUARDO)";"AV. PROFESSORA EDNA RIBEIRO DE MATOS, S/N - ZONA URBANA";"CENTRO";45215000;367,368;2;488
